02269435000161 06893407000171 "RUA AZALEIA 59 BELO HORIZONTE MG BRASIL"
02279774000129 01822722000194 "RUA DOMINGOS INACIO 11 RIO POMBA MG BRASIL"
02281032000138 06940334000121 "RUA LACERDINO ROCHA 330 PITANGUI MG BRASIL"
02281032000138 26086695000160 "RUA LACERDINO ROCHA 330 PITANGUI MG BRASIL"
02295649000293 23932731000170 "RUA SANTA HELENA 16 PIRAPORA MG BRASIL"
02302811000687 07578760000120 "AVENIDA RONDON PACHECO 3500 UBERLANDIA MG BRASIL"
02305356000169 12070721000157 "RODOVIA BR-040 KM 688 S/N CONTAGEM MG BRASIL"
02305356000169 86587680000107 "RODOVIA BR-040 KM 688 S/N CONTAGEM MG BRASIL"
02306316000131 26850880000189 "RUA JOSEFINA BRAGANCA 372 ITABIRA MG BRASIL"
02306692000126 02457379000199 "RUA BARAO DO RIO BRANCO 480 GOVERNADOR VALADARES MG BRASIL"
02306692000126 03991434000199 "RUA BARAO DO RIO BRANCO 480 GOVERNADOR VALADARES MG BRASIL"
02307176000116 09186571000137 "AVENIDA GETULIO VARGAS 1075 RIACHINHO MG BRASIL"
02316886000102 26032320000117 "RUA CORONEL MARIO CAMPOS 284 CONTAGEM MG BRASIL"
02316886000102 29760831000143 "RUA CORONEL MARIO CAMPOS 284 CONTAGEM MG BRASIL"
02367995000159 08896836000128 "AVENIDA WILSON ALVARENGA 1047 JOAO MONLEVADE MG BRASIL"
02368782000141 04748193000114 "AVENIDA LIBERDADE 1355 AIMORES MG BRASIL"
02368782000141 28186983000111 "AVENIDA LIBERDADE 1355 AIMORES MG BRASIL"
02378813000145 30557964000104 "RUA LINDORIFO BATISTA 520 BRASILANDIA DE MINAS MG BRASIL"
02381997000100 07051313000118 "RUA CRISTOVAO COLOMBO 45 IPATINGA MG BRASIL"
02381997000100 30905977000119 "RUA CRISTOVAO COLOMBO 45 IPATINGA MG BRASIL"
02432262000150 19834142000182 "AVENIDA JOAO PINHEIRO 568 POCOS DE CALDAS MG BRASIL"
02436800000185 17514634000165 "RUA DOMINGOS RODRIGUES 341 SAO PAULO SP BRASIL"
02436800000185 25406063000173 "RUA DOMINGOS RODRIGUES 341 SAO PAULO SP BRASIL"
02457379000199 03991434000199 "RUA BARAO DO RIO BRANCO 480 GOVERNADOR VALADARES MG BRASIL"
02462958000120 06052615000148 "RUA DR MARIO DE PAIVA 612 POCOS DE CALDAS MG BRASIL"
02490073000134 00771945000107 "RODOVIA BR-050 SN UBERABA MG BRASIL"
02508522000124 07158822000144 "RUA BENJAMIN CONSTANT 351 MONTE SANTO DE MINAS MG BRASIL"
02540779000163 14782354000140 "RUA DOMINGOS VIEIRA 343 BELO HORIZONTE MG BRASIL"
02547378000135 10400284000167 "RODOVIA MG 353 0 CORONEL PACHECO MG BRASIL"
02585687000108 02896840000100 "RUA OSCAR MACHADO 71 LEOPOLDINA MG BRASIL"
02598486000137 01731628000120 "RUA PECANHA 662 GOVERNADOR VALADARES MG BRASIL"
02598486000137 23428388000121 "RUA PECANHA 662 GOVERNADOR VALADARES MG BRASIL"
02598982000190 25448361000126 "RUA BELO HORIZONTE 803 GOVERNADOR VALADARES MG BRASIL"
02627696000106 11702352000105 "RODOVIA BR 393 1 PIRAPETINGA MG BRASIL"
02681458000189 10755511000177 "RUA EPAMINONDAS OTONI 35 TEOFILO OTONI MG BRASIL"
02681458000189 19224645000136 "RUA EPAMINONDAS OTONI 35 TEOFILO OTONI MG BRASIL"
02682014000168 11183495000158 "RUA GERALDINO CAMPISTA 342 ITAJUBA MG BRASIL"
02697663000132 71323117000154 "AVENIDA BRASIL 283 BELO HORIZONTE MG BRASIL"
02718660000138 05502751000120 "AVENIDA AMAZONAS 135 135 BELO HORIZONTE MG BRASIL"
02737299000197 13396160000143 "RUA UM 36 MONTES CLAROS MG BRASIL"
02738926000104 08067853000152 "RUA GUAICURUS 254 UBERLANDIA MG BRASIL"
02740940000142 01200714000106 "RUA JATOBA 137 MARIANA MG BRASIL"
02744708000263 14797675000118 "RODOVIA MG 158 S/N PASSA QUATRO MG BRASIL"
02747324000113 25776493000187 "AVENIDA PROFESSOR ALFREDO BALENA 189 BELO HORIZONTE MG BRASIL"
02750601000147 08309218000134 "AVENIDA DONA BALDOINA 1090 ABADIA DOS DOURADOS MG BRASIL"
02751555000109 22957771000104 "RUA BARAO DE PIUMHI 111 FORMIGA MG BRASIL"
02777831000108 26625740000107 "VIA RAMON 298 SAO LOURENCO MG BRASIL"
02778386000192 07542241000101 "RUA GIOVANI BISCOTO 101 UBA MG BRASIL"
02786239000164 03161658000173 "AVENIDA OLEGARIO MACIEL 2345 BELO HORIZONTE MG BRASIL"
02801307000117 22442880000199 "RUA VEREADOR JOAO DE SIQUEIRA LOYOLA 149 POCOS DE CALDAS MG BRASIL"
02817121000156 10718175000192 "RUA DO ROSARIO 82 DESCOBERTO MG BRASIL"
02833970000101 19544892000110 "RUA PEDRO RODRIGUES 351 PEDRINOPOLIS MG BRASIL"
02835372000163 09350979000100 "RUA MARECHAL DEODORO 480 POUSO ALEGRE MG BRASIL"
02845132000140 07143489000108 "SETOR CA (CENTRO DE ATIVIDADES) 7 S/N BRASILIA DF BRASIL"
02859623000140 16891726000100 "RUA QUINTILIANO FRANCISCO FRANCA 61 SETE LAGOAS MG BRASIL"
02880827000243 23396659000104 "AVENIDA DUQUE DE CAXIAS 823 MANGA MG BRASIL"
02900288000186 18202450000122 "AVENIDA DOM PEDRO II 135 SAO LOURENCO MG BRASIL"
02901226000199 18152353000172 "RUA SANTA TEREZINHA SN SAO MIGUEL DO ANTA MG BRASIL"
02901226000199 27227447000154 "RUA SANTA TEREZINHA SN SAO MIGUEL DO ANTA MG BRASIL"
02904921000104 23044968000115 "RUA PEDRO ALVARES CABRAL 131 LAGOA GRANDE MG BRASIL"
02919628000200 12875664000183 "RODOVIA MG 173 S/N SAPUCAI-MIRIM MG BRASIL"
02922049000127 21024690000199 "RUA PREFEITO IZIDORO MURTA 89 JEQUITINHONHA MG BRASIL"
02927450000150 14599453000190 "RUA PROFESSOR COELHO JUNIOR 45 BELO HORIZONTE MG BRASIL"
02966317000293 03188198000509 "AVENIDA PORTUGAL 1100 ITAPEVI SP BRASIL"
02966317000293 09603161000144 "AVENIDA PORTUGAL 1100 ITAPEVI SP BRASIL"
02966317000293 12600168000117 "AVENIDA PORTUGAL 1100 ITAPEVI SP BRASIL"
02966317000293 54516661002732 "AVENIDA PORTUGAL 1100 ITAPEVI SP BRASIL"
